Nome: ARIRANHA
Codigo Estacao: A736
Latitude: -21.13305554
Longitude: -48.84055555
Altitude: 525.44
Situacao: Operante
Data Inicial: 2023-01-01
Data Final: 2023-12-31
Periodicidade da Medicao: Horaria

Data Medicao;Hora Medicao;PRECIPITACAO TOTAL, HORARIO(mm);PRESSAO ATMOSFERICA AO NIVEL DA ESTACAO, HORARIA(mB);PRESSAO ATMOSFERICA REDUZIDA NIVEL DO MAR, AUT(mB);PRESSAO ATMOSFERICA MAX.NA HORA ANT. (AUT)(mB);PRESSAO ATMOSFERICA MIN. NA HORA ANT. (AUT)(mB);RADIACAO GLOBAL(Kj/m²);TEMPERATURA DA CPU DA ESTACAO(°C);TEMPERATURA DO AR - BULBO SECO, HORARIA(°C);TEMPERATURA DO PONTO DE ORVALHO(°C);TEMPERATURA MAXIMA NA HORA ANT. (AUT)(°C);TEMPERATURA MINIMA NA HORA ANT. (AUT)(°C);TEMPERATURA ORVALHO MAX. NA HORA ANT. (AUT)(°C);TEMPERATURA ORVALHO MIN. NA HORA ANT. (AUT)(°C);TENSAO DA BATERIA DA ESTACAO(V);UMIDADE REL. MAX. NA HORA ANT. (AUT)(%);UMIDADE REL. MIN. NA HORA ANT. (AUT)(%);UMIDADE RELATIVA DO AR, HORARIA(%);VENTO, DIRECAO HORARIA (gr)(° (gr));VENTO, RAJADA MAXIMA(m/s);VENTO, VELOCIDADE HORARIA(m/s);
2023-01-01;0000;0;954,7;1014,6;954,7;954,1;-3,5;25;22,6;20,6;23;22,4;21;20,2;12,5;89;87;89;61;1,1;0;
2023-01-01;0100;0;954,8;1014,8;954,9;954,6;-3,4;24;22,2;20,3;22,9;22,2;20,9;20,2;12,5;89;88;89;197;1,2;0;
2023-01-01;0200;0;954,9;1014,9;955,1;954,8;-3,5;24;22,2;20,1;22,5;22;20,6;20;12,5;89;88;88;34;2,1;,6;
2023-01-01;0300;0;954,4;1014,5;954,9;954,3;-3,5;23;21,7;19,7;22,1;21,6;20,1;19,5;12,5;89;88;88;7;2;,7;
2023-01-01;0400;0;953,7;1013,9;954,4;953,7;-3,5;23;21,3;19,2;21,8;21,3;19,8;19,2;12,4;88;88;88;24;2,2;,7;
2023-01-01;0500;0;953,4;1013,5;953,8;953,4;-3,5;23;21,3;19,2;21,7;21,2;19,6;19,2;12,4;88;88;88;323;2,3;,1;
2023-01-01;0600;0;952,9;1013,1;953,4;952,9;-3,5;22;21;19;21,4;21;19,4;18,9;12,4;88;88;88;332;1;0;
2023-01-01;0700;0;953,2;1013,5;953,2;952,8;-3,4;22;20,6;18,7;21,2;20,5;19,2;18,5;12,4;89;88;89;4;0;0;
2023-01-01;0800;0;953,4;1013,8;953,4;953,1;-3,5;22;20,1;18,3;20,6;20,1;18,7;18,3;12,4;89;89;89;34;1,9;1;
2023-01-01;0900;0;953,9;1014,3;953,9;953,4;16,5;21;20,4;18,6;20,4;20,1;18,6;18,3;12,3;90;89;89;25;1,8;,4;
2023-01-01;1000;0;954,6;1014,6;954,6;953,9;302,7;22;22,2;19,8;22,2;20,4;19,9;18,6;12,7;89;86;86;1;3;1,5;
2023-01-01;1100;0;954,9;1014,5;955;954,6;1215,7;23;24,2;19,5;24,2;22,2;20;19,3;13,2;86;75;75;359;5,2;3,5;
2023-01-01;1200;0;955,2;1014,5;955,2;954,9;2077;26;25,7;19;25,9;24,2;20,2;18,8;14,3;76;66;66;356;5,8;4;
2023-01-01;1300;0;955,1;1014;955,2;955,1;2835,2;28;27,6;19;28;25,7;20,1;18,7;14,3;67;59;59;329;6;2,2;
2023-01-01;1400;0;954,8;1013,5;955,1;954,8;3449,5;29;28,6;19,2;29;27,2;20;18,4;14,3;62;55;57;344;6,1;2,9;
2023-01-01;1500;0;954,2;1012,8;954,8;954,2;3804;31;29,1;18,3;29,6;28,5;20;17,4;14,3;58;49;52;336;6,3;2,6;
2023-01-01;1600;0;953,4;1011,9;954,2;953,4;2990,6;32;29,5;18,3;30,8;28,7;19,5;17,5;14;54;47;51;326;5,9;1,1;
2023-01-01;1700;0;952,3;1010,4;953,4;952,3;3713,9;33;30,9;17,3;31,1;29,5;19,8;16,5;14,3;55;44;44;333;4,8;2,2;
2023-01-01;1800;0;951,4;1009,5;952,3;951,3;1833,1;34;30,7;17,7;31,3;30,4;19,3;16,9;14,3;50;44;46;327;4,6;1;
2023-01-01;1900;0;951,3;1009,6;951,5;951,2;1105,2;34;29,7;19,5;30,9;29,6;19,5;17,6;13,7;55;45;55;140;3;,6;
2023-01-01;2000;0;950,5;1008,9;951,3;950,5;423,1;33;28,8;21,8;29,7;28,7;21,8;19,3;13,5;66;54;66;177;1,5;,9;
2023-01-01;2100;0;950,4;1008,5;950,5;950,2;1012,9;33;30,4;19,1;31,5;28,8;21,9;17,7;13,4;66;45;51;118;2,9;1,1;
2023-01-01;2200;0;950,5;1009,2;950,7;950,4;256,4;33;27,3;20,2;30,5;27,3;20,5;18,6;12,6;66;50;65;129;2,5;1,2;
2023-01-01;2300;0;951,5;1010,9;951,5;950,3;-2,5;30;24,3;20,4;27,3;24,3;20,7;19,6;12,5;79;64;79;70;2,4;,9;
2023-01-02;0000;0;952,7;1012,3;952,7;951,5;-3,5;28;23,9;20,8;24,5;23,5;20,8;20,2;12,5;83;79;83;72;3,2;1,5;
2023-01-02;0100;0;953,6;1013,2;953,6;952,7;-3,3;27;24,1;19,5;24,9;23,9;21;19,5;12,5;83;74;76;26;4,8;1,6;
2023-01-02;0200;0;953,3;1013,1;953,6;952,9;-3,5;26;22,8;18,8;24,1;22,7;19,5;18,6;12,5;79;74;78;27;4,4;,1;
2023-01-02;0300;0;952,7;1012,5;953,6;952,7;-3,5;25;22,8;18,8;23,1;22,7;18,9;18,6;12,5;79;77;78;317;3,2;,4;
2023-01-02;0400;0;952,4;1012,5;952,7;952,4;-3,5;24;21,3;18,6;22,8;21,2;18,9;18,5;12,4;85;78;85;14;3,7;,5;
2023-01-02;0500;0;952,1;1012,2;952,4;952,1;-3,5;23;21,3;18,9;21,6;21,2;19;18,6;12,4;87;85;87;28;1,3;,9;
2023-01-02;0600;0;952;1012,1;952,2;951,9;-3,5;23;21,2;18,7;21,5;21,2;19,1;18,6;12,4;87;85;85;17;3,3;2;
2023-01-02;0700;0;951,7;1011,7;952;951,6;-3,5;23;21,3;18,6;21,6;21,2;19;18,5;12,4;86;85;85;358;3,3;1,3;
2023-01-02;0800;0;952,1;1012,1;952,1;951,6;-3,5;22;21,5;18;21,6;21,3;18,8;18;12,3;85;80;80;336;4,2;2,3;
2023-01-02;0900;0;952,9;1013,1;952,9;952,1;4,8;22;20,8;17,8;21,5;20,8;18;17,7;12,3;83;80;83;344;4,3;1,7;
2023-01-02;1000;0;953,3;1013,4;953,3;952,9;203,9;22;21,4;18;21,4;20,5;18,1;17,7;12,6;84;81;81;341;3,4;1,9;
2023-01-02;1100;0;953,4;1013;953,5;953,3;1114;24;24;18,2;24;21,4;18,8;18;13,2;81;70;70;349;5,3;3,2;
2023-01-02;1200;0;953,6;1013;953,8;953,3;1816,9;26;24,9;18,6;25,6;23,9;19,4;18,1;13,9;71;66;68;350;5,7;3,8;
2023-01-02;1300;0;953,5;1012,4;953,8;953,5;2144,1;27;27,3;19,1;27,6;24,9;20;18,6;14,3;69;61;61;314;7,3;3,3;
2023-01-02;1400;0;952,8;1011,4;953,5;952,8;3395,1;29;28,8;19,9;28,9;27;20,8;19,1;14,3;65;57;59;317;7,6;3,7;
2023-01-02;1500;0;951,7;1010,1;952,8;951,7;3416,2;31;29,5;19,1;30;28,6;20,5;18,8;14,3;59;54;54;304;7,9;4;
2023-01-02;1600;0;950,3;1008,4;951,7;950,3;3424,4;32;30,2;19,7;30,4;29;20,1;18,9;14,3;57;51;54;318;7,9;2,8;
2023-01-02;1700;0;949;1006,9;950,3;949;3561,7;33;30,9;18,9;31,2;30,1;20,3;18,1;14,3;54;47;49;295;6,3;3,2;
2023-01-02;1800;0;948,4;1006,3;949;948,4;3094,5;34;31;18;31,6;30,7;19,3;17,3;13,8;49;44;46;307;5,8;3;
2023-01-02;1900;0;946,9;1004,6;948,4;946,9;2128;34;31,5;18;32;30,7;18,9;17,4;14,3;48;43;45;337;6,1;3,2;
2023-01-02;2000;0;947,5;1005,6;947,5;946,9;690,9;33;29,4;19,9;31,5;29,3;20,1;17,7;13,6;57;44;57;282;7,5;3,1;
2023-01-02;2100;0;948,6;1007;948,7;947,5;295,8;32;28,3;19,8;29,4;28,3;20,1;19,1;13,1;60;55;60;276;9,2;3,3;
2023-01-02;2200;0;949,2;1008,7;949,4;948,3;93,2;29;22,9;17;28,3;22,9;19,9;16,8;12,5;71;55;70;188;10,9;3,7;
2023-01-02;2300;0;951,4;1011,5;951,4;949,1;-3,2;26;21;17,9;22,9;21;17,9;16,9;12,5;82;70;82;141;9,4;3,3;
2023-01-03;0000;,6;952,1;1012,3;952,4;951,4;-3,5;24;20,5;17,8;21,2;20,5;18,1;17,6;12,5;85;80;85;180;7,6;2,2;
2023-01-03;0100;,6;950,5;1010,7;952,1;950,5;-3,5;23;20,3;18;20,5;20,2;18,2;17,8;12,5;87;85;87;158;5;2,3;
2023-01-03;0200;0;951,9;1012,1;951,9;950,5;-2,5;23;20,5;18,2;21;20,2;18,6;18;12,5;88;85;87;76;3,9;1,9;
2023-01-03;0300;,2;950,1;1010,2;951,9;950,1;-3,5;22;20,4;18,3;20,9;20,4;18,7;18,2;12,4;87;86;87;61;3;1,1;
2023-01-03;0400;0;949,7;1009,8;950,1;949,5;-3,5;22;20,5;18,3;20,6;20,3;18,6;18,2;12,4;88;87;87;321;3,7;1,5;
2023-01-03;0500;0;949,7;1009,9;949,7;949,3;-3,5;22;20,1;18;20,5;20,1;18,4;18;12,4;88;87;87;286;3,4;1,7;
2023-01-03;0600;0;949,2;1009,3;949,7;949,2;-3,4;22;20,3;18,1;20,3;20,1;18,1;17,9;12,4;88;87;87;338;3,6;2,3;
2023-01-03;0700;0;949,6;1009,7;949,6;949,2;-2,4;22;20,5;18,2;20,5;20,2;18,3;18,1;12,4;88;87;87;316;3,8;,8;
2023-01-03;0800;0;950,2;1010,3;950,2;949,6;-2,4;22;20,6;18,4;20,7;20,4;18,5;18,2;12,3;87;87;87;304;2,9;1,6;
2023-01-03;0900;0;951,2;1011,3;951,2;950,2;1,5;22;20,7;18,5;20,8;20,4;18,6;18,3;12,3;88;87;87;296;2,9;1,1;
2023-01-03;1000;0;951,4;1011,5;951,4;951,1;124,7;22;21,1;18,9;21,1;20,7;18,9;18,5;12,5;88;87;87;298;3,2;1,2;
2023-01-03;1100;0;952;1011,9;952;951,4;569;22;21,9;19,2;22,1;21,1;19,6;18,9;13,1;87;84;85;309;3,5;1,9;
2023-01-03;1200;0;952,4;1011,9;952,4;952;1510,3;24;24,1;19,4;24,3;21,9;20,1;19;13,8;85;75;75;311;5,4;2,3;
2023-01-03;1300;0;952,8;1012,2;952,9;952,4;1093;26;24,6;19,5;24,8;24,1;19,9;19,1;14;75;73;74;309;5,4;2,2;
2023-01-03;1400;0;952,7;1012;952,8;952,6;1730,2;27;25,2;19,2;26,2;24,5;19,9;18,9;14,1;74;65;69;255;6,5;3,8;
2023-01-03;1500;7,2;952,4;1012,3;953;952,4;823,7;25;22;19,6;25,2;21,1;19,6;18,4;14,3;88;69;86;205;11,3;3,1;
2023-01-03;1600;,2;951,3;1010,5;952,4;951,3;1572,3;25;25,3;20,7;25,3;22;20,8;19,5;14,4;86;74;76;207;7;2,7;
2023-01-03;1700;0;950,4;1009,1;951,3;950,4;2950,2;28;27,5;18,7;27,7;25,3;21;18,4;14,4;76;57;59;208;9;4,2;
2023-01-03;1800;0;949,3;1008;950,4;949,3;2213,8;29;27,2;19,6;27,8;26,6;20,3;17,3;14,3;67;54;63;174;11,6;1,7;
2023-01-03;1900;0;948,2;1006,8;949,3;948,2;2140,4;31;27,3;20,5;28,1;27;20,8;19,1;14,3;67;60;67;153;4,3;1,4;
2023-01-03;2000;0;947,7;1006,2;948,3;947,7;1393,6;31;27,7;19,6;28,9;27;20,6;18,4;13,7;67;56;62;158;3,8;1,3;
2023-01-03;2100;0;947,9;1006,5;947,9;947,7;520,6;31;27;20;27,9;27;20;18,3;13,4;66;56;66;160;2,5;,7;
2023-01-03;2200;0;948,8;1007,8;948,8;947,9;79,5;30;25,6;20,7;27,2;25,6;20,7;19;12,5;74;61;74;70;1,9;,2;
2023-01-03;2300;0;949,3;1008,4;949,3;948,8;-1,9;28;25;20,8;25,6;25;21;20,5;12,5;78;74;77;18;4,8;2,8;
2023-01-04;0000;15;951,1;1011,2;951,1;949,3;-,1;27;20,9;18,8;25;20,9;20,9;18,7;12,5;88;77;88;195;9,9;5,8;
2023-01-04;0100;5,8;951,6;1011,7;951,7;951,1;26,9;24;20,8;19,1;21;20,6;19,2;18,9;12,5;90;88;90;41;9,9;2,1;
2023-01-04;0200;0;951,5;1011,5;951,6;951,3;10,9;23;21,2;19,4;21,3;20,8;19,5;19,1;12,5;90;90;90;354;5,4;1,9;
2023-01-04;0300;0;950,7;1010,7;951,6;950,7;13,5;23;21,3;19,6;21,5;21,2;19,7;19,4;12,5;90;89;90;351;3,4;1,3;
2023-01-04;0400;0;949,8;1009,6;950,7;949,8;14,4;23;21,6;19,9;21,6;21,2;19,9;19,4;12,4;90;89;90;348;2,5;1,3;
2023-01-04;0500;0;949,6;1009,5;949,9;949,6;16,5;23;21,5;19,6;21,7;21,5;19,9;19,6;12,4;90;89;89;332;3,3;1,7;
2023-01-04;0600;0;949,2;1009;949,6;949,2;16,9;23;21,5;19,6;21,5;21,5;19,6;19,6;12,4;89;89;89;347;2,7;,6;
2023-01-04;0700;0;949,6;1009,4;949,6;949,2;17,4;23;21,6;19,8;21,7;21,5;19,8;19,6;12,4;89;89;89;303;2,1;,4;
2023-01-04;0800;23,4;950,1;1010,3;950,6;949,6;18,1;22;20,1;18,5;21,8;19,8;20;18;12,3;91;87;91;225;11,7;2,9;
2023-01-04;0900;3,8;950,4;1010,6;950,4;950;14,1;22;20,2;18,6;20,2;20;18,6;18,4;12,3;91;91;91;250;5,4;,2;
2023-01-04;1000;,4;951;1011,2;951;950,4;94,7;22;20,5;18,9;20,5;20,2;18,9;18,6;12,4;91;90;90;330;2,6;1,8;
2023-01-04;1100;0;951,5;1011,5;951,5;951;345,6;22;21,3;19,5;21,3;20,5;19,5;18,9;13;91;90;90;308;5,4;2,8;
2023-01-04;1200;0;951,7;1011,5;951,7;951,5;1221,7;22;22,3;19,6;22,3;21,2;19,7;19,4;13,2;90;85;85;288;6;3,3;
2023-01-04;1300;0;951,8;1011,4;951,8;951,6;1147,9;24;23,4;20;23,4;22,3;20,1;19,5;14;85;80;81;285;6,8;3,8;
2023-01-04;1400;0;951,6;1011,1;951,8;951,6;1336,1;25;23,9;19,8;24;23,5;20;19,4;13,9;81;76;78;288;7,8;4;
2023-01-04;1500;0;951;1010,3;951,7;951;1061,8;25;24,5;19,8;24,6;23,5;20,2;19,5;14,4;81;75;75;293;7,8;3,8;
2023-01-04;1600;0;949,9;1008,8;951;949,9;2684,8;26;26,3;19,9;26,5;24,5;20,4;19,4;14,4;75;67;68;290;9;4,9;
2023-01-04;1700;,4;949;1008,5;949,9;949;1970,1;28;23,1;19,7;26,8;23,1;20,5;19,2;14;81;65;81;283;9,5;4,3;
2023-01-04;1800;2,8;948,2;1007,4;949;948,2;1674,5;27;24,4;21,7;25,6;22,9;21,8;19,9;14,4;86;76;85;268;9,4;2,8;
2023-01-04;1900;2,2;948;1007,2;948,3;947,9;782,8;26;24,4;20,8;24,7;23,5;21,8;20,4;14,2;85;80;81;208;7;2,1;
2023-01-04;2000;8,6;948,2;1007,7;948,7;948;524,6;25;23;20,1;24,5;21,5;21,1;19,4;13,7;88;78;84;269;10,5;3,7;
2023-01-04;2100;4,2;948,7;1008,6;948,8;948,1;204,7;25;21;19;23,3;21;20,6;18,7;12,9;88;83;88;260;12,4;4,7;
2023-01-04;2200;,4;949,4;1009,2;949,4;948,7;25,7;23;21,7;19,7;21,7;21;19,7;19,1;12,5;89;88;88;228;8,5;2,1;
2023-01-04;2300;,6;949,6;1009,5;949,6;949,3;-,8;23;21,5;19,6;21,7;21,4;19,6;19,4;12,5;89;88;89;294;4,4;0;
2023-01-05;0000;0;949,8;1009,8;949,9;949,6;-1,3;23;21;19,2;21,5;21;19,6;19,2;12,5;90;89;90;116;1,5;,1;
2023-01-05;0100;,2;950,2;1010,2;950,2;949,8;-1,3;23;21,1;19,4;21,1;20,9;19,4;19,2;12,5;90;90;90;179;1,5;0;
2023-01-05;0200;0;950,4;1010,3;950,5;950,2;-1,4;23;21,3;19,6;21,3;21,1;19,6;19,4;12,5;90;90;90;210;1;0;
2023-01-05;0300;0;950,1;1010;950,4;950,1;-,3;23;21,3;19,6;21,5;21,3;19,8;19,6;12,5;90;90;90;334;1,8;,7;
2023-01-05;0400;0;949,6;1009,5;950,1;949,6;0;23;21,4;19,7;21,4;21,3;19,7;19,6;12,4;90;90;90;341;2,1;1,1;
2023-01-05;0500;1,4;949,1;1008,9;949,6;949;0;23;21,4;19,7;21,4;21,3;19,8;19,6;12,4;90;90;90;254;2,9;,5;
2023-01-05;0600;0;948,9;1008,7;949,1;948,7;-,6;22;21,4;19,7;21,5;21,3;19,8;19,6;12,4;90;90;90;219;2,7;,7;
2023-01-05;0700;0;949,4;1009,3;949,4;948,8;3,8;22;21,3;19,2;21,4;21,2;19,7;19,2;12,4;90;88;88;239;5,9;2;
2023-01-05;0800;0;949,4;1009,3;949,4;949,2;1,3;22;21,1;19,1;21,3;21;19,2;18,9;12,3;88;88;88;267;5,1;1,1;
2023-01-05;0900;0;949,9;1009,9;949,9;949,4;7,6;22;21,1;19,1;21,2;21;19,2;19,1;12,3;89;88;88;264;4,5;2;
2023-01-05;1000;0;950,4;1010,4;950,4;949,9;107,4;22;21,2;19;21,2;21,1;19,1;19;12,4;88;87;87;273;4,5;2,2;
2023-01-05;1100;0;951;1010,9;951;950,4;302,4;22;21,6;19,3;21,6;21,2;19,3;19,1;12,9;88;86;87;282;4,4;1,5;
2023-01-05;1200;0;951,8;1011,6;951,8;951;436,3;23;22,3;19,3;22,3;21,6;19,6;19,1;13;87;83;83;285;3,7;2;
2023-01-05;1300;0;952,2;1011,9;952,2;951,8;710,1;24;22,8;19,2;22,9;22,2;19,6;19,1;13,2;85;80;80;263;5;3;
2023-01-05;1400;0;951,9;1011,4;952,2;951,9;1309,8;25;23,9;19,3;24;22,8;19,9;18,9;14;80;75;75;278;5;1,4;
2023-01-05;1500;0;951,8;1011,2;951,9;951,8;1681,1;26;24,5;19,5;25;23,8;19,9;18,7;13,9;76;70;74;312;4,4;2,2;
2023-01-05;1600;0;951,4;1010,8;951,8;951,3;1365,5;27;24,4;19,2;25,2;24,3;20,1;18,9;14,2;74;70;73;328;4,8;2,9;
2023-01-05;1700;0;950,5;1009,5;951,4;950,5;1998,5;28;25,9;19,4;25,9;24,3;19,8;18,9;14,4;74;65;67;257;4,6;1,6;
2023-01-05;1800;0;949,9;1009,1;950,5;949,9;1628,5;28;24,7;19,9;26,4;23,2;21,8;18,7;14,4;82;64;74;136;6,3;2,7;
2023-01-05;1900;0;949,5;1008,7;950;949,4;1809,6;28;24,5;19,3;25,5;24;20,5;19,2;13,8;78;71;73;140;7,2;3;
2023-01-05;2000;0;949,5;1008,7;949,7;949,4;1005,4;28;24,4;19,3;24,6;23,5;20,3;19,2;14,2;78;73;73;118;7,8;3,3;
2023-01-05;2100;0;950,2;1009,9;950,3;949,5;393,3;27;22,5;18,8;24,3;22,5;19,5;18,8;13,1;80;73;80;116;8,1;2,9;
2023-01-05;2200;0;950,9;1010,8;950,9;950,2;66,7;25;21,9;18,4;22,6;21,9;18,8;18,4;12,4;81;79;81;119;6,9;2,2;
2023-01-05;2300;,2;951,5;1011,6;951,5;950,9;,4;24;20,8;17,6;21,9;20,8;18,4;17,6;12,5;83;81;82;103;6,4;2,4;
2023-01-06;0000;,6;952,1;1012,4;952,1;951,5;32,7;23;20;17,5;20,8;20;17,7;17,5;12,5;86;82;86;99;6;1,9;
2023-01-06;0100;0;953,1;1013,5;953,1;952,1;2,5;22;20,2;17,3;20,2;20;17,6;17,3;12,5;86;83;83;93;5,2;1,7;
2023-01-06;0200;0;953,2;1013,7;953,3;953;1,3;22;19,6;16,5;20,2;19,6;17,2;16,4;12,5;83;81;82;122;4,9;,8;
2023-01-06;0300;0;952,4;1012,9;953,2;952,4;-,2;22;19,5;16,7;19,7;19,5;16,9;16,6;12,5;84;82;84;109;3,8;1,5;
2023-01-06;0400;0;952,1;1012,6;952,7;952,1;-2,7;21;19,3;16,7;19,5;19,3;16,8;16,7;12,4;85;84;85;127;3,7;,9;
2023-01-06;0500;0;951,9;1012,4;952,3;951,9;-,6;21;19;16,6;19,3;19;16,8;16,6;12,4;86;85;86;118;2,9;1;
2023-01-06;0600;0;951,7;1012,2;952;951,6;,9;21;18,9;16,4;19,1;18,9;16,7;16,4;12,4;86;85;85;111;3,4;1,3;
2023-01-06;0700;0;951,3;1011,8;951,8;951,3;2;20;18,8;16,3;19;18,7;16,4;16,3;12,4;86;85;85;94;4,5;1,4;
2023-01-06;0800;0;951,6;1012,2;951,6;951,3;2,2;20;18,8;16,1;18,8;18,7;16,3;16,1;12,3;85;84;84;95;5,1;1,7;
2023-01-06;0900;0;951,8;1012,4;951,9;951,6;43,6;20;18,8;15,9;18,9;18,7;16,1;15,8;12,3;84;83;83;75;4,8;2;
2023-01-06;1000;0;952,2;1012,6;952,2;951,7;318,4;20;19,5;16,3;19,5;18,8;16,4;15,9;12,6;83;82;82;71;5,4;1,9;
2023-01-06;1100;0;953,1;1013,2;953,1;952,2;872,4;21;21,3;17,1;21,3;19,5;17,3;16,3;13,1;82;77;77;64;5,4;2,2;
2023-01-06;1200;,2;953,6;1013,6;953,6;953,1;798,5;22;22,1;16,9;22,2;21,1;17,3;16,6;13,3;77;72;72;65;6,1;3,4;
2023-01-06;1300;0;953,9;1013,8;953,9;953,6;1152,3;24;22,8;17,5;22,9;22;17,5;16,7;14,2;73;71;72;33;6,7;3,4;
2023-01-06;1400;0;954;1013,9;954,2;953,9;1951,5;24;22,7;18;23,2;22,5;18,1;17,2;14,2;75;70;75;31;6,4;3,4;
2023-01-06;1500;0;953,6;1013,3;954;953,6;1443,1;25;23,5;18,2;23,7;22,7;18,5;17,8;14;75;70;72;40;6,1;2,5;
2023-01-06;1600;0;953,1;1012,6;953,6;953,1;1034,3;26;24,2;18,6;24,5;23,4;19,1;17,8;14,4;72;70;71;80;4,8;1,9;
2023-01-06;1700;0;952,5;1011,9;953,1;952,5;1525,3;27;24,7;18,9;25;24,2;19,1;18,4;13,9;71;68;70;104;4,8;1,7;
2023-01-06;1800;0;951,9;1011,1;952,5;951,9;1201,9;27;25,2;19,3;25,3;24,1;19,6;18,6;14,4;73;69;70;72;5,8;2,9;
2023-01-06;1900;0;952;1011,3;952;951,7;null;28;25;19;25,5;24,9;19,6;18,8;13,9;71;68;69;108;6;2,5;
2023-01-06;2000;0;952,1;1011,6;952,1;951,9;736,9;28;23,9;18,3;24,9;23,9;19,1;18,3;13,7;71;69;71;105;6,3;2,7;
2023-01-06;2100;0;952,5;1012,2;952,5;952,1;246,6;27;23,2;17,5;24;23,2;18,4;17,5;13,4;73;70;70;105;8,1;2,8;
2023-01-06;2200;0;953,1;1013;953,1;952,5;363,1;26;22,3;16,5;23,2;22,3;17,5;16,5;12,8;71;69;70;94;8,1;2,9;
2023-01-06;2300;0;954;1014,2;954;953,1;18,1;25;21,4;15,9;22,4;21,4;16,5;15,9;12,5;71;68;71;93;6,9;3,2;
2023-01-07;0000;0;954,8;1015,2;954,9;954;51,6;23;20,6;15,1;21,4;20,6;15,9;15;12,5;71;70;70;85;8,2;3,6;
2023-01-07;0100;0;955,6;1016,4;955,6;954,8;100,5;23;19;15,5;20,6;19;15,5;15;12,5;80;70;80;92;7,7;2,9;
2023-01-07;0200;2;955,9;1016,9;955,9;955,6;631,3;21;18;15,8;19;18;15,8;15,5;12,5;87;80;87;74;6,9;1,9;
2023-01-07;0300;1;955,5;1016,5;955,9;955,4;36,4;20;17,8;15,8;18;17,7;15,8;15,6;12,5;88;87;88;61;6,6;,7;
2023-01-07;0400;,4;954,7;1015,6;955,5;954,7;null;20;18;16,1;18;17,7;16,2;15,7;12,4;89;88;89;85;2,3;,8;
2023-01-07;0500;0;954,3;1015,2;954,9;954,3;null;20;18,2;16,2;18,3;18;16,4;16,1;12,4;89;88;88;68;2,9;1,2;
2023-01-07;0600;0;953,6;1014,4;954,3;953,6;null;20;18,2;15,8;18,3;18,2;16,2;15,8;12,4;88;86;86;74;5,2;2,8;
2023-01-07;0700;0;953,3;1014,1;953,6;953,3;null;20;18,2;15,6;18,2;18,1;15,8;15,6;12,4;86;85;85;61;6,8;2,8;
2023-01-07;0800;0;953,4;1014,2;953,6;953,2;null;19;18,1;15,4;18,2;18,1;15,6;15,4;12,4;85;84;84;80;6,1;2,7;
2023-01-07;0900;0;954,3;1015,2;954,3;953,3;null;19;18,2;15,3;18,2;18,1;15,4;15,3;12,3;84;83;83;64;5,9;1,2;
2023-01-07;1000;0;954,4;1015,2;954,5;954,3;null;20;18,7;15,4;18,7;18,2;15,5;15,3;12,5;83;81;81;64;5,7;2;
2023-01-07;1100;0;955,2;1015,7;955,2;954,4;356,4;20;20,3;15,9;20,3;18,7;16;15,3;13,2;81;75;76;64;5,7;2,9;
2023-01-07;1200;0;955,7;1016;955,7;955,2;729,8;21;21,2;16,5;21,2;20;16,5;15,4;13,3;76;74;75;32;6,1;2,3;
2023-01-07;1300;0;956,1;1016,3;956,1;955,7;109,3;23;21,7;16,6;21,8;21,1;16,9;16,1;13,9;75;71;73;35;6,2;2,7;
2023-01-07;1400;,2;956,2;1016,5;956,3;956,1;null;23;21,3;18,6;22;20,8;18,6;16,6;14,3;85;73;85;34;5;2,3;
2023-01-07;1500;0;955,8;1015,5;956,2;955,8;1407;24;23,9;18,9;23,9;21,2;19,2;18,1;14,4;85;72;74;58;4,4;1,9;
2023-01-07;1600;0;954,9;1014,2;955,8;954,9;2265,1;27;25,8;18,8;25,8;23,8;19,8;17,9;14,4;74;64;65;86;4,4;1,1;
2023-01-07;1700;0;953,8;1012,9;954,9;953,8;600,3;29;26,5;19,1;27;25,4;20;18,2;14,3;67;62;64;72;4,5;2;
2023-01-07;1800;0;953,1;1012,2;953,8;953,1;1955,1;29;26,1;19,5;27,1;25,2;20,4;18,6;14,3;70;63;67;101;7,3;3,1;
2023-01-07;1900;0;952,5;1011,5;953,1;952,5;2179,1;30;26,7;19,4;27,6;25,8;20,1;18,6;14,3;67;61;64;121;6,7;3,2;
2023-01-07;2000;0;952,3;1011,4;952,6;952,3;1400,7;30;25,8;18,3;27,6;25,8;19,7;18,2;13,8;65;59;63;83;9,2;3,9;
2023-01-07;2100;,2;952,7;1012,4;952,8;952,3;823,5;29;23,1;19,1;25,8;23;19,1;18;13,2;78;63;78;31;9,1;4,3;
2023-01-07;2200;,6;953,5;1013,5;953,5;952,7;133,4;26;21,9;19,3;23,1;21,9;19,9;19,2;12,5;86;78;85;27;7,5;3,7;
2023-01-07;2300;,2;954;1014,1;954,1;953,5;61,2;25;21,7;19,1;21,9;21,6;19,4;19,1;12,5;86;85;85;48;6,3;1,7;
2023-01-08;0000;,2;954,4;1014,5;954,4;954;null;24;21,6;19,1;21,7;21,6;19,2;19;12,5;86;85;86;65;3,9;,5;
2023-01-08;0100;0;955;1015,3;955;954,4;215,3;23;20,8;17,5;21,6;20,8;19,1;17,5;12,5;86;81;81;86;3,2;1;
